unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,ES,2022-Q2,90.6
I20,SCA,B,LM-LCI-TOT,ES,2022-Q3,93.4
I20,SCA,B,LM-LCI-TOT,ES,2022-Q4,93.1
I20,SCA,B,LM-LCI-TOT,ES,2023-Q1,100.7
I20,SCA,B,LM-LCI-TOT,ES,2023-Q2,100.2
I20,SCA,B,LM-LCI-TOT,ES,2023-Q3,96.1
I20,SCA,B,LM-LCI-TOT,ES,2023-Q4,95.9
I20,SCA,B,LM-LCI-TOT,ES,2024-Q1,102.2
I20,SCA,B,LM-LCI-TOT,EU,2021-Q1,101.5
I20,SCA,B,LM-LCI-TOT,EU,2021-Q2,101.1
I20,SCA,B,LM-LCI-TOT,EU,2021-Q3,102.6
I20,SCA,B,LM-LCI-TOT,EU,2021-Q4,103.9
I20,SCA,B,LM-LCI-TOT,EU,2022-Q1,107.4
I20,SCA,B,LM-LCI-TOT,EU,2022-Q2,107.9
I20,SCA,B,LM-LCI-TOT,EU,2022-Q3,117.0
I20,SCA,B,LM-LCI-TOT,EU,2022-Q4,114.2
I20,SCA,B,LM-LCI-TOT,EU,2023-Q1,116.4
I20,SCA,B,LM-LCI-TOT,EU,2023-Q2,120.7
I20,SCA,B,LM-LCI-TOT,EU,2023-Q3,122.7
I20,SCA,B,LM-LCI-TOT,EU,2023-Q4,126.0
I20,SCA,B,LM-LCI-TOT,EU,2024-Q1,125.2
I20,SCA,B,LM-LCI-TOT,EU27_2020,2021-Q1,101.7
I20,SCA,B,LM-LCI-TOT,EU27_2020,2021-Q2,100.8
I20,SCA,B,LM-LCI-TOT,EU27_2020,2021-Q3,102.4
I20,SCA,B,LM-LCI-TOT,EU27_2020,2021-Q4,104.2
I20,SCA,B,LM-LCI-TOT,EU27_2020,2022-Q1,107.6
I20,SCA,B,LM-LCI-TOT,EU27_2020,2022-Q2,107.5
I20,SCA,B,LM-LCI-TOT,EU27_2020,2022-Q3,116.6
I20,SCA,B,LM-LCI-TOT,EU27_2020,2022-Q4,114.9
I20,SCA,B,LM-LCI-TOT,EU27_2020,2023-Q1,116.3
I20,SCA,B,LM-LCI-TOT,EU27_2020,2023-Q2,120.4
