DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-04,139.7,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-05,139.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-06,137.3,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2023-07,130.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2023-08,131.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2023-09,131.6,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2023-10,130.9,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2023-11,129.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2023-12,129.3,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2024-01,128.2,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2024-02,129.4,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2024-03,131.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2024-04,131.9,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2024-05,131.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DE,2024-06,131.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2023-07,118.5,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2023-08,119.9,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2023-09,120.4,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2023-10,119.6,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2023-11,118.3,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2023-12,117.1,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2024-01,117.9,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2024-02,119.5,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2024-03,119.2,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2024-04,119.7,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2024-05,119.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,DK,2024-06,119.6,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2023-07,126.85,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2023-08,128.55,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2023-09,128.44,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2023-10,128.03,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2023-11,125.91,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2023-12,125.69,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2024-01,124.94,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2024-02,126.64,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2024-03,127.59,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2024-04,128.77,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2024-05,128.12,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA,2024-06,127.65,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2023-07,126.85,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2023-08,128.53,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2023-09,128.42,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2023-10,128.01,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2023-11,125.90,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2023-12,125.69,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2024-01,124.93,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2024-02,126.63,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2024-03,127.58,
